source target "graph distance" "common neighbors" "jaccard coef" "adamic - adar" "pref attachment"
55 1366 -1 0 0.0 0.0 5
55 1 -4 0 0.0 0.0 9
55 4 -6 0 0.0 0.0 3
55 5 -4 0 0.0 0.0 14
55 9 -6 0 0.0 0.0 1
55 2063 -385 0 0.0 0.0 1
55 20 -5 0 0.0 0.0 15
55 25 -6 0 0.0 0.0 1
55 26 -5 0 0.0 0.0 4
55 2077 -5 0 0.0 0.0 3
55 2078 -5 0 0.0 0.0 4
55 446497 -4 0 0.0 0.0 6
55 33 -7 0 0.0 0.0 1
55 2084 -5 0 0.0 0.0 10
55 2086 -4 0 0.0 0.0 10
55 40 -5 0 0.0 0.0 3
55 42 -4 0 0.0 0.0 10
55 46 -385 0 0.0 0.0 1
55 49 -5 0 0.0 0.0 4
55 1025 -6 0 0.0 0.0 1
55 1026 -6 0 0.0 0.0 1
55 1042 -6 0 0.0 0.0 2
55 1048 -4 0 0.0 0.0 3
55 1063 -5 0 0.0 0.0 1
55 27687 -7 0 0.0 0.0 1
55 1065 -6 0 0.0 0.0 1
55 1069 -385 0 0.0 0.0 0
55 1075 -5 0 0.0 0.0 7
55 58 -5 0 0.0 0.0 1
55 60 -5 0 0.0 0.0 2
55 2109 -5 0 0.0 0.0 6
55 1084 -3 0 0.0 0.0 3
55 2118 -5 0 0.0 0.0 8
55 72 -385 0 0.0 0.0 0
55 77 -4 0 0.0 0.0 9
55 2128 -4 0 0.0 0.0 7
55 1104 -5 0 0.0 0.0 3
55 2131 -4 0 0.0 0.0 11
55 2132 -5 0 0.0 0.0 5
55 83 -5 0 0.0 0.0 2
55 2134 -4 0 0.0 0.0 32
55 85 -385 0 0.0 0.0 1
55 1109 -5 0 0.0 0.0 4
55 91 -4 0 0.0 0.0 8
55 92 -5 0 0.0 0.0 3
55 2141 -385 0 0.0 0.0 0
55 1116 -5 0 0.0 0.0 6
55 95 -385 0 0.0 0.0 0
55 96 -6 0 0.0 0.0 2
55 1117 -6 0 0.0 0.0 1
55 1120 -5 0 0.0 0.0 9
55 2148 -5 0 0.0 0.0 10
55 101 -6 0 0.0 0.0 1
