"graph distance" "common neighbors" "jaccard coef" "adamic - adar" "pref attachment"
-1 0 0.0 0.0 24
-1 0 0.0 0.0 88
-1 0 0.0 0.0 44
-1 0 0.0 0.0 76
-3 0 0.0 0.0 44
-3 0 0.0 0.0 12
-3 0 0.0 0.0 64
-3 0 0.0 0.0 8
-4 0 0.0 0.0 8
-3 0 0.0 0.0 64
-3 0 0.0 0.0 16
-3 0 0.0 0.0 28
-3 0 0.0 0.0 28
-4 0 0.0 0.0 24
-2 1 0.08333333333333333 0.3396232718951086 36
-4 0 0.0 0.0 12
-2 1 0.058823529411764705 0.32351545314867247 56
-3 0 0.0 0.0 48
-3 0 0.0 0.0 20
-3 0 0.0 0.0 40
-3 0 0.0 0.0 48
-3 0 0.0 0.0 24
-3 0 0.0 0.0 8
-3 0 0.0 0.0 16
-3 0 0.0 0.0 12
-3 0 0.0 0.0 12
-4 0 0.0 0.0 8
-4 0 0.0 0.0 8
-4 0 0.0 0.0 12
-4 0 0.0 0.0 4
-2 2 0.16666666666666666 0.663138725043781 40
-4 0 0.0 0.0 8
-4 0 0.0 0.0 12
-3 0 0.0 0.0 32
-2 1 0.16666666666666666 0.3396232718951086 12
-3 0 0.0 0.0 68
-385 0 0.0 0.0 0
-4 0 0.0 0.0 48
-4 0 0.0 0.0 16
-3 0 0.0 0.0 84
-2 1 0.1111111111111111 0.3396232718951086 24
-4 0 0.0 0.0 12
-2 1 0.021739130434782608 0.4170323914242463 172
-4 0 0.0 0.0 8
-3 0 0.0 0.0 28
-3 0 0.0 0.0 52
-4 0 0.0 0.0 12
-3 0 0.0 0.0 84
-3 0 0.0 0.0 28
-3 0 0.0 0.0 4
-4 0 0.0 0.0 12
-3 0 0.0 0.0 40
-3 0 0.0 0.0 36
-3 0 0.0 0.0 48
-3 0 0.0 0.0 12
-3 0 0.0 0.0 16
-4 0 0.0 0.0 4
-3 0 0.0 0.0 20
-3 0 0.0 0.0 32
-4 0 0.0 0.0 20
-2 2 0.08695652173913043 0.8977338984463559 84
-4 0 0.0 0.0 4
-4 0 0.0 0.0 8
-3 0 0.0 0.0 44
-3 0 0.0 0.0 24
-3 0 0.0 0.0 12
-4 0 0.0 0.0 24
-4 0 0.0 0.0 8
-3 0 0.0 0.0 16
-4 0 0.0 0.0 12
-3 0 0.0 0.0 24
-4 0 0.0 0.0 8
-3 0 0.0 0.0 16
-3 0 0.0 0.0 24
-3 0 0.0 0.0 8
-3 0 0.0 0.0 12
-3 0 0.0 0.0 16
-4 0 0.0 0.0 4
-3 0 0.0 0.0 24
-3 0 0.0 0.0 48
-3 0 0.0 0.0 80
-4 0 0.0 0.0 8
-3 0 0.0 0.0 36
-4 0 0.0 0.0 20
-3 0 0.0 0.0 28
-4 0 0.0 0.0 4
-5 0 0.0 0.0 4
-2 1 0.04 0.4170323914242463 88
-2 1 0.047619047619047616 0.3396232718951086 72
-2 1 0.125 0.3396232718951086 20
-4 0 0.0 0.0 8
-4 0 0.0 0.0 4
-3 0 0.0 0.0 196
-4 0 0.0 0.0 12
-3 0 0.0 0.0 44
-4 0 0.0 0.0 4
-3 0 0.0 0.0 40
-3 0 0.0 0.0 136
-4 0 0.0 0.0 20
-4 0 0.0 0.0 12
-4 0 0.0 0.0 8
-5 0 0.0 0.0 4
-4 0 0.0 0.0 20
-3 0 0.0 0.0 24
-4 0 0.0 0.0 24
-4 0 0.0 0.0 16
-2 1 0.02857142857142857 0.32351545314867247 128
-3 0 0.0 0.0 80
-3 0 0.0 0.0 68
-2 1 0.2 0.4170323914242463 8
-3 0 0.0 0.0 8
-3 0 0.0 0.0 56
-3 0 0.0 0.0 4
-3 0 0.0 0.0 64
-3 0 0.0 0.0 20
-4 0 0.0 0.0 8
-3 0 0.0 0.0 48
-4 0 0.0 0.0 12
-3 0 0.0 0.0 32
-3 0 0.0 0.0 20
-3 0 0.0 0.0 32
-3 0 0.0 0.0 36
-3 0 0.0 0.0 52
-385 0 0.0 0.0 0
-4 0 0.0 0.0 12
-3 0 0.0 0.0 40
-4 0 0.0 0.0 4
-3 0 0.0 0.0 20
-4 0 0.0 0.0 12
-4 0 0.0 0.0 32
-4 0 0.0 0.0 8
-3 0 0.0 0.0 68
-3 0 0.0 0.0 36
-3 0 0.0 0.0 36
-3 0 0.0 0.0 16
-4 0 0.0 0.0 20
-4 0 0.0 0.0 32
-3 0 0.0 0.0 20
