source target "does edge exist"
233 227 1
233 5 0
233 17 0
233 25 0
233 26 0
233 27 0
233 30 0
233 32 0
233 34 0
233 35 0
233 36 0
233 39 0
233 40 0
233 45 0
233 46 0
233 48 0
233 50 0
233 51 0
233 55 0
233 58 0
233 67 0
233 71 0
233 72 0
233 77 0
233 79 0
233 83 0
233 85 0
233 86 0
233 87 0
233 91 0
233 92 0
233 101 0
233 106 0
233 116 0
233 117 0
233 120 0
233 121 0
233 122 0
233 131 0
233 136 0
233 137 0
233 143 0
233 149 0
233 153 0
233 157 0
233 188 0
233 192 0
233 194 0
233 198 0
233 199 0
233 200 0
233 1384652 0
233 204 0
233 206 0
233 216 0
233 219 0
233 224 0
233 225 0
233 230 0
233 328 0
233 266 0
233 267 0
233 2089740 0
233 269 0
233 332 0
233 271 0
233 275 0
233 340 0
233 341 0
233 342 0
233 280 0
233 350 0
233 287 0
233 357 0
233 358 0
233 296 0
233 234 0
233 363 0
233 364 0
233 303 0
233 304 0
233 305 0
233 307 0
233 308 0
233 245 0
233 2090742 0
233 312 0
233 313 0
233 316 0
233 318 0
245 5 0
245 17 0
245 25 0
245 26 0
245 27 0
245 30 0
245 32 0
245 34 0
245 35 0
245 36 0
245 39 0
245 40 0
245 45 0
245 46 0
245 48 0
245 50 0
245 51 0
245 55 0
245 58 0
245 67 0
245 71 0
245 72 0
245 77 0
245 79 0
245 83 0
245 85 0
245 86 0
245 87 0
245 91 0
245 92 0
245 101 0
245 106 0
245 116 0
245 117 0
245 120 0
245 121 0
245 122 0
245 131 0
245 136 0
245 137 0
245 143 0
245 149 0
245 153 0
245 157 0
245 188 0
245 192 0
245 194 0
245 198 0
245 199 0
245 200 0
245 1384652 0
245 204 0
245 206 0
245 216 0
245 219 0
245 224 0
245 225 0
245 227 0
245 230 0
245 234 0
245 328 0
245 266 0
245 267 0
245 2089740 0
245 269 0
245 332 0
245 271 0
245 275 0
245 340 0
245 341 0
245 342 0
245 280 0
245 350 0
245 287 0
245 357 0
245 358 0
245 296 0
245 363 0
245 364 0
245 303 0
245 304 0
245 305 0
245 307 0
245 308 0
245 2090742 0
245 312 0
245 313 0
245 316 0
245 318 0
91 227 1
91 40 1
91 267 1
91 120 1
91 206 1
91 35 1
91 200 1
91 312 1
91 83 1
91 17 1
91 307 1
91 26 1
91 1384652 1
91 199 1
91 308 1
91 116 1
91 340 1
91 350 1
91 5 1
91 198 1
91 25 0
91 27 0
91 30 0
91 32 0
91 34 0
91 36 0
91 39 0
91 45 0
91 46 0
91 48 0
91 50 0
91 51 0
91 55 0
91 58 0
91 67 0
91 71 0
91 72 0
91 77 0
91 79 0
91 85 0
91 86 0
91 87 0
91 131 0
91 136 0
91 137 0
91 266 0
91 2089740 0
91 269 0
91 143 0
91 271 0
91 275 0
91 149 0
91 280 0
91 153 0
91 157 0
91 287 0
91 296 0
91 303 0
91 304 0
91 305 0
91 313 0
91 188 0
91 316 0
91 318 0
91 192 0
91 194 0
91 328 0
91 204 0
91 332 0
91 341 0
91 342 0
91 216 0
91 219 0
91 92 0
91 224 0
91 225 0
91 101 0
91 230 0
91 357 0
91 358 0
91 106 0
91 234 0
91 363 0
91 364 0
91 117 0
91 2090742 0
91 121 0
91 122 0
77 5 0
77 17 0
77 25 0
77 26 0
77 27 0
77 30 0
77 32 0
77 34 0
77 35 0
77 36 0
77 39 0
77 40 0
77 45 0
77 46 0
77 48 0
77 50 0
77 51 0
77 55 0
77 58 0
77 67 0
77 71 0
77 72 0
77 266 0
77 267 0
77 2089740 0
77 269 0
77 271 0
77 275 0
77 280 0
77 287 0
77 296 0
77 303 0
77 304 0
77 305 0
77 307 0
77 308 0
77 312 0
77 313 0
77 316 0
77 318 0
77 328 0
77 332 0
77 79 0
77 83 0
77 340 0
77 85 0
77 86 0
77 87 0
77 341 0
77 342 0
77 92 0
77 350 0
77 101 0
77 357 0
77 358 0
77 106 0
77 363 0
77 364 0
77 116 0
77 117 0
77 120 0
77 121 0
77 122 0
77 131 0
77 136 0
77 137 0
77 143 0
77 149 0
77 153 0
77 157 0
77 188 0
77 192 0
77 194 0
77 198 0
77 199 0
77 200 0
77 1384652 0
77 204 0
77 206 0
77 216 0
77 219 0
77 224 0
77 225 0
77 227 0
77 230 0
77 234 0
77 2090742 0
234 87 1
234 307 1
234 117 1
234 32 1
234 358 1
234 308 1
234 5 0
234 17 0
234 25 0
234 26 0
234 27 0
234 30 0
234 34 0
234 35 0
234 36 0
234 39 0
234 40 0
234 45 0
234 46 0
234 48 0
234 50 0
234 51 0
234 55 0
234 58 0
234 67 0
234 71 0
234 72 0
234 79 0
234 83 0
234 85 0
234 86 0
234 92 0
234 101 0
234 106 0
234 116 0
234 120 0
234 121 0
234 122 0
234 131 0
234 136 0
234 137 0
234 143 0
234 149 0
234 153 0
234 157 0
234 188 0
234 192 0
234 194 0
234 198 0
234 199 0
234 200 0
234 1384652 0
234 204 0
234 206 0
234 216 0
234 219 0
234 224 0
234 225 0
234 227 0
234 230 0
234 328 0
234 266 0
234 267 0
234 2089740 0
234 269 0
234 332 0
234 271 0
234 275 0
234 340 0
234 341 0
234 342 0
234 280 0
234 350 0
234 287 0
234 357 0
234 296 0
234 363 0
234 364 0
234 303 0
234 304 0
234 305 0
234 2090742 0
234 312 0
234 313 0
234 316 0
234 318 0
116 87 1
116 85 1
116 30 1
116 2089740 1
116 216 1
116 5 0
116 17 0
116 25 0
116 26 0
116 27 0
116 32 0
116 34 0
116 35 0
116 36 0
116 39 0
116 40 0
116 45 0
116 46 0
116 48 0
116 50 0
116 51 0
116 55 0
116 58 0
116 67 0
116 71 0
116 72 0
116 79 0
116 83 0
116 86 0
116 92 0
116 101 0
116 106 0
116 131 0
116 136 0
116 137 0
116 266 0
116 267 0
