source target "graph distance" "common neighbors" "jaccard coef" "adamic - adar" "pref attachment"
269 116 -1 4 0.23529411764705882 3.2992758382628073 98
269 2090742 -1 1 0.125 0.3789231816899512 14
269 122 -1 2 0.2 0.8928215240597019 35
269 72 -1 1 0.1 0.3789231816899512 28
269 287 -1 0 0.0 0.0 7
269 307 -1 0 0.0 0.0 63
269 92 -1 2 0.16666666666666666 1.000258116249563 49
269 5 -2 1 0.14285714285714285 0.3789231816899512 7
269 17 -4 0 0.0 0.0 21
269 25 -2 2 0.25 1.0764545478730305 21
269 26 -2 1 0.1 0.3789231816899512 28
269 27 -4 0 0.0 0.0 7
269 30 -2 1 0.125 0.3789231816899512 14
269 32 -100 0 0.0 0.0 7
269 34 -3 0 0.0 0.0 7
269 35 -3 0 0.0 0.0 7
269 36 -5 0 0.0 0.0 7
269 39 -100 0 0.0 0.0 7
269 40 -3 0 0.0 0.0 14
269 45 -2 1 0.1111111111111111 0.5138983423697507 21
269 46 -3 0 0.0 0.0 14
269 48 -100 0 0.0 0.0 7
269 50 -4 0 0.0 0.0 7
269 51 -2 1 0.1 0.6213349345596119 28
269 55 -4 0 0.0 0.0 7
269 58 -2 3 0.25 1.6141690445041836 56
269 67 -3 0 0.0 0.0 7
269 71 -100 0 0.0 0.0 7
269 77 -4 0 0.0 0.0 7
269 79 -4 0 0.0 0.0 7
269 83 -100 0 0.0 0.0 7
269 85 -100 0 0.0 0.0 0
269 86 -5 0 0.0 0.0 14
269 87 -4 0 0.0 0.0 14
269 91 -3 0 0.0 0.0 77
269 101 -3 0 0.0 0.0 14
269 106 -2 1 0.125 0.45511961331341866 14
269 117 -100 0 0.0 0.0 0
269 120 -100 0 0.0 0.0 7
269 121 -4 0 0.0 0.0 14
269 131 -100 0 0.0 0.0 0
269 136 -3 0 0.0 0.0 63
269 137 -2 1 0.1111111111111111 0.3789231816899512 21
269 143 -4 0 0.0 0.0 7
269 149 -3 0 0.0 0.0 14
269 153 -7 0 0.0 0.0 7
269 157 -2 1 0.14285714285714285 0.45511961331341866 7
269 188 -3 0 0.0 0.0 28
269 192 -3 0 0.0 0.0 21
269 194 -100 0 0.0 0.0 7
269 198 -2 1 0.14285714285714285 0.3789231816899512 7
269 199 -4 0 0.0 0.0 7
269 200 -3 0 0.0 0.0 21
269 1384652 -2 2 0.2222222222222222 0.9690179556831694 28
269 204 -3 0 0.0 0.0 7
269 206 -100 0 0.0 0.0 0
269 216 -2 1 0.125 0.3789231816899512 14
269 219 -6 0 0.0 0.0 14
269 224 -100 0 0.0 0.0 0
269 225 -2 1 0.14285714285714285 0.45511961331341866 7
269 227 -100 0 0.0 0.0 0
269 230 -100 0 0.0 0.0 0
269 233 -100 0 0.0 0.0 0
269 234 -100 0 0.0 0.0 0
269 245 -100 0 0.0 0.0 0
269 266 -4 0 0.0 0.0 7
269 267 -100 0 0.0 0.0 0
269 2089740 -3 0 0.0 0.0 28
269 271 -3 0 0.0 0.0 7
269 275 -3 0 0.0 0.0 14
269 280 -4 0 0.0 0.0 7
269 296 -100 0 0.0 0.0 0
269 303 -4 0 0.0 0.0 21
269 304 -2 1 0.1 0.45511961331341866 28
269 305 -3 0 0.0 0.0 7
269 308 -2 1 0.1111111111111111 0.7213475204444817 21
269 312 -5 0 0.0 0.0 7
269 313 -100 0 0.0 0.0 7
269 316 -4 0 0.0 0.0 7
269 318 -100 0 0.0 0.0 0
269 328 -4 0 0.0 0.0 7
269 332 -2 1 0.125 0.3789231816899512 14
269 340 -2 1 0.1 0.5138983423697507 28
269 341 -5 0 0.0 0.0 7
269 342 -4 0 0.0 0.0 7
269 350 -2 1 0.1111111111111111 0.45511961331341866 21
269 357 -100 0 0.0 0.0 14
269 358 -2 2 0.15384615384615385 0.8340427950033699 56
269 363 -5 0 0.0 0.0 7
269 364 -3 0 0.0 0.0 7
116 122 -1 2 0.11764705882352941 1.0277966847395015 70
116 5 -1 0 0.0 0.0 14
116 2090742 -1 1 0.06666666666666667 0.5138983423697507 28
116 198 -1 0 0.0 0.0 14
116 137 -1 1 0.0625 0.7213475204444817 42
116 332 -1 1 0.06666666666666667 0.48089834696298783 28
116 26 -1 1 0.058823529411764705 0.9102392266268373 56
116 30 -1 0 0.0 0.0 28
116 216 -1 1 0.06666666666666667 0.48089834696298783 28
116 72 -1 2 0.125 0.9947966893327386 56
116 358 -1 2 0.1 2.8853900817779268 112
116 58 -1 2 0.1 1.2352458628142324 112
116 92 -1 3 0.16666666666666666 1.6161316238923504 98
116 17 -3 0 0.0 0.0 42
116 25 -2 1 0.0625 0.6213349345596119 42
116 27 -3 0 0.0 0.0 14
116 32 -100 0 0.0 0.0 14
116 34 -3 0 0.0 0.0 14
116 35 -2 1 0.07142857142857142 0.7213475204444817 14
116 36 -4 0 0.0 0.0 14
116 39 -100 0 0.0 0.0 14
116 40 -2 1 0.06666666666666667 0.48089834696298783 28
116 45 -2 1 0.0625 0.5138983423697507 42
116 46 -3 0 0.0 0.0 28
116 48 -100 0 0.0 0.0 14
116 50 -3 0 0.0 0.0 14
116 51 -2 1 0.058823529411764705 0.6213349345596119 56
116 55 -3 0 0.0 0.0 14
116 67 -3 0 0.0 0.0 14
116 71 -100 0 0.0 0.0 14
116 77 -3 0 0.0 0.0 14
116 79 -3 0 0.0 0.0 14
116 83 -100 0 0.0 0.0 14
116 85 -100 0 0.0 0.0 0
116 86 -4 0 0.0 0.0 28
116 87 -3 0 0.0 0.0 28
116 91 -2 1 0.041666666666666664 0.48089834696298783 154
116 101 -2 1 0.06666666666666667 0.48089834696298783 28
116 106 -3 0 0.0 0.0 28
116 131 -100 0 0.0 0.0 0
116 136 -2 2 0.09523809523809523 2.352934267515801 126
116 266 -3 0 0.0 0.0 14
116 267 -100 0 0.0 0.0 0
116 2089740 -2 2 0.125 0.9617966939259757 56
116 143 -4 0 0.0 0.0 14
116 271 -4 0 0.0 0.0 14
116 275 -3 0 0.0 0.0 28
116 149 -4 0 0.0 0.0 28
116 280 -3 0 0.0 0.0 14
116 153 -6 0 0.0 0.0 14
116 157 -3 0 0.0 0.0 14
116 287 -2 1 0.07142857142857142 0.5138983423697507 14
116 296 -100 0 0.0 0.0 0
116 303 -3 0 0.0 0.0 42
116 304 -3 0 0.0 0.0 56
116 305 -2 1 0.07142857142857142 0.48089834696298783 14
116 307 -2 2 0.09523809523809523 0.9947966893327386 126
116 308 -2 1 0.0625 0.7213475204444817 42
116 312 -4 0 0.0 0.0 14
116 313 -100 0 0.0 0.0 14
116 188 -3 0 0.0 0.0 56
116 316 -3 0 0.0 0.0 14
116 318 -100 0 0.0 0.0 0
116 192 -3 0 0.0 0.0 42
116 194 -100 0 0.0 0.0 14
116 199 -3 0 0.0 0.0 14
116 200 -2 1 0.0625 0.48089834696298783 42
116 328 -4 0 0.0 0.0 14
116 1384652 -2 1 0.058823529411764705 0.5138983423697507 56
116 204 -2 1 0.07142857142857142 0.48089834696298783 14
116 206 -100 0 0.0 0.0 0
116 340 -2 1 0.058823529411764705 0.5138983423697507 56
116 341 -4 0 0.0 0.0 14
116 342 -3 0 0.0 0.0 14
116 219 -5 0 0.0 0.0 28
116 350 -2 1 0.0625 0.7213475204444817 42
116 224 -100 0 0.0 0.0 0
116 225 -3 0 0.0 0.0 14
116 227 -100 0 0.0 0.0 0
116 357 -100 0 0.0 0.0 28
116 230 -100 0 0.0 0.0 0
116 233 -100 0 0.0 0.0 0
116 234 -100 0 0.0 0.0 0
116 363 -4 0 0.0 0.0 14
116 364 -2 1 0.07142857142857142 0.48089834696298783 14
116 117 -100 0 0.0 0.0 0
116 245 -100 0 0.0 0.0 0
116 120 -100 0 0.0 0.0 14
116 121 -3 0 0.0 0.0 28
122 51 -1 0 0.0 0.0 20
122 25 -1 0 0.0 0.0 15
122 92 -1 2 0.2 0.8928215240597019 35
122 5 -2 1 0.2 0.3789231816899512 5
122 17 -4 0 0.0 0.0 15
122 26 -2 1 0.125 0.3789231816899512 20
122 27 -4 0 0.0 0.0 5
122 30 -2 1 0.16666666666666666 0.3789231816899512 10
122 32 -100 0 0.0 0.0 5
122 34 -3 0 0.0 0.0 5
122 35 -3 0 0.0 0.0 5
122 36 -5 0 0.0 0.0 5
122 39 -100 0 0.0 0.0 5
122 40 -3 0 0.0 0.0 10
122 45 -2 1 0.14285714285714285 0.5138983423697507 15
122 46 -3 0 0.0 0.0 10
122 48 -100 0 0.0 0.0 5
122 50 -4 0 0.0 0.0 5
122 55 -4 0 0.0 0.0 5
122 58 -2 2 0.18181818181818182 0.8928215240597019 40
122 67 -2 1 0.2 0.7213475204444817 5
122 71 -100 0 0.0 0.0 5
122 72 -2 2 0.2857142857142857 0.8928215240597019 20
122 77 -4 0 0.0 0.0 5
122 79 -4 0 0.0 0.0 5
122 83 -100 0 0.0 0.0 5
122 85 -100 0 0.0 0.0 0
122 86 -5 0 0.0 0.0 10
122 87 -4 0 0.0 0.0 10
122 91 -3 0 0.0 0.0 55
122 101 -3 0 0.0 0.0 10
122 106 -3 0 0.0 0.0 10
122 117 -100 0 0.0 0.0 0
122 120 -100 0 0.0 0.0 5
122 121 -4 0 0.0 0.0 10
122 131 -100 0 0.0 0.0 0
122 136 -3 0 0.0 0.0 45
122 137 -2 1 0.14285714285714285 0.3789231816899512 15
122 266 -4 0 0.0 0.0 5
122 267 -100 0 0.0 0.0 0
122 2089740 -3 0 0.0 0.0 20
122 143 -4 0 0.0 0.0 5
122 271 -4 0 0.0 0.0 5
122 275 -3 0 0.0 0.0 10
122 149 -3 0 0.0 0.0 10
122 280 -4 0 0.0 0.0 5
122 153 -7 0 0.0 0.0 5
122 157 -3 0 0.0 0.0 5
122 287 -2 1 0.2 0.5138983423697507 5
122 296 -100 0 0.0 0.0 0
122 303 -4 0 0.0 0.0 15
122 304 -3 0 0.0 0.0 20
122 305 -3 0 0.0 0.0 5
122 307 -2 2 0.16666666666666666 1.424137568996588 45
122 308 -3 0 0.0 0.0 15
122 312 -5 0 0.0 0.0 5
122 313 -100 0 0.0 0.0 5
122 188 -2 1 0.125 0.9102392266268373 20
122 316 -4 0 0.0 0.0 5
122 318 -100 0 0.0 0.0 0
122 192 -2 1 0.14285714285714285 0.7213475204444817 15
122 194 -100 0 0.0 0.0 5
122 198 -2 1 0.2 0.3789231816899512 5
122 199 -4 0 0.0 0.0 5
122 200 -2 1 0.14285714285714285 0.7213475204444817 15
122 328 -3 0 0.0 0.0 5
122 1384652 -2 1 0.125 0.5138983423697507 20
122 204 -3 0 0.0 0.0 5
122 206 -100 0 0.0 0.0 0
122 332 -2 1 0.16666666666666666 0.3789231816899512 10
122 340 -2 1 0.125 0.5138983423697507 20
122 341 -5 0 0.0 0.0 5
122 342 -4 0 0.0 0.0 5
122 216 -2 1 0.16666666666666666 0.3789231816899512 10
122 219 -6 0 0.0 0.0 10
122 350 -3 0 0.0 0.0 15
122 224 -100 0 0.0 0.0 0
122 225 -3 0 0.0 0.0 5
122 227 -100 0 0.0 0.0 0
122 357 -100 0 0.0 0.0 10
122 230 -100 0 0.0 0.0 0
122 358 -2 1 0.08333333333333333 0.3789231816899512 40
122 233 -100 0 0.0 0.0 0
122 234 -100 0 0.0 0.0 0
122 363 -5 0 0.0 0.0 5
122 364 -3 0 0.0 0.0 5
122 245 -100 0 0.0 0.0 0
122 2090742 -2 2 0.4 0.8928215240597019 10
2090742 5 -2 1 0.5 0.3789231816899512 2
2090742 17 -4 0 0.0 0.0 6
2090742 25 -3 0 0.0 0.0 6
2090742 26 -2 1 0.2 0.3789231816899512 8
2090742 27 -4 0 0.0 0.0 2
