source target "does edge exist"
269 116 1
269 2090742 1
269 122 1
269 72 1
269 287 1
269 307 1
269 92 1
269 5 0
269 17 0
269 25 0
269 26 0
269 27 0
269 30 0
269 32 0
269 34 0
269 35 0
269 36 0
269 39 0
269 40 0
269 45 0
269 46 0
269 48 0
269 50 0
269 51 0
269 55 0
269 58 0
269 67 0
269 71 0
269 77 0
269 79 0
269 83 0
269 85 0
269 86 0
269 87 0
269 91 0
269 101 0
269 106 0
269 117 0
269 120 0
269 121 0
269 131 0
269 136 0
269 137 0
269 143 0
269 149 0
269 153 0
269 157 0
269 188 0
269 192 0
269 194 0
269 198 0
269 199 0
269 200 0
269 1384652 0
269 204 0
269 206 0
269 216 0
269 219 0
269 224 0
269 225 0
269 227 0
269 230 0
269 233 0
269 234 0
269 245 0
269 266 0
269 267 0
269 2089740 0
269 271 0
269 275 0
269 280 0
269 296 0
269 303 0
269 304 0
269 305 0
269 308 0
269 312 0
269 313 0
269 316 0
269 318 0
269 328 0
269 332 0
269 340 0
269 341 0
269 342 0
269 350 0
269 357 0
269 358 0
269 363 0
269 364 0
116 122 1
116 5 1
116 2090742 1
116 198 1
116 137 1
116 332 1
116 26 1
116 30 1
116 216 1
116 72 1
116 358 1
116 58 1
116 92 1
116 17 0
116 25 0
116 27 0
116 32 0
116 34 0
116 35 0
116 36 0
116 39 0
116 40 0
116 45 0
116 46 0
116 48 0
116 50 0
116 51 0
116 55 0
116 67 0
116 71 0
116 77 0
116 79 0
116 83 0
116 85 0
116 86 0
116 87 0
116 91 0
116 101 0
116 106 0
116 131 0
116 136 0
116 266 0
116 267 0
116 2089740 0
116 143 0
116 271 0
116 275 0
116 149 0
116 280 0
116 153 0
116 157 0
116 287 0
116 296 0
116 303 0
116 304 0
116 305 0
116 307 0
116 308 0
116 312 0
116 313 0
116 188 0
116 316 0
116 318 0
116 192 0
116 194 0
116 199 0
116 200 0
116 328 0
116 1384652 0
116 204 0
116 206 0
116 340 0
116 341 0
116 342 0
116 219 0
116 350 0
116 224 0
116 225 0
116 227 0
116 357 0
116 230 0
116 233 0
116 234 0
116 363 0
116 364 0
116 117 0
116 245 0
116 120 0
116 121 0
122 51 1
122 25 1
122 92 1
122 5 0
122 17 0
122 26 0
122 27 0
122 30 0
122 32 0
122 34 0
122 35 0
122 36 0
122 39 0
122 40 0
122 45 0
122 46 0
122 48 0
122 50 0
122 55 0
122 58 0
122 67 0
122 71 0
122 72 0
122 77 0
122 79 0
122 83 0
122 85 0
122 86 0
122 87 0
122 91 0
122 101 0
122 106 0
122 117 0
122 120 0
122 121 0
122 131 0
122 136 0
122 137 0
122 266 0
122 267 0
122 2089740 0
122 143 0
122 271 0
122 275 0
122 149 0
122 280 0
122 153 0
122 157 0
122 287 0
122 296 0
122 303 0
122 304 0
122 305 0
122 307 0
122 308 0
122 312 0
122 313 0
122 188 0
122 316 0
122 318 0
122 192 0
122 194 0
122 198 0
122 199 0
122 200 0
122 328 0
122 1384652 0
122 204 0
122 206 0
122 332 0
122 340 0
122 341 0
122 342 0
122 216 0
122 219 0
122 350 0
122 224 0
122 225 0
122 227 0
122 357 0
122 230 0
122 358 0
122 233 0
122 234 0
122 363 0
122 364 0
122 245 0
122 2090742 0
2090742 5 0
2090742 17 0
2090742 25 0
2090742 26 0
2090742 27 0
2090742 30 0
2090742 32 0
2090742 34 0
2090742 35 0
2090742 36 0
2090742 39 0
2090742 40 0
2090742 45 0
2090742 46 0
2090742 48 0
2090742 50 0
2090742 51 0
2090742 55 0
2090742 58 0
2090742 67 0
2090742 71 0
2090742 72 0
2090742 77 0
2090742 79 0
2090742 83 0
2090742 85 0
2090742 86 0
2090742 87 0
2090742 91 0
2090742 92 0
2090742 101 0
2090742 106 0
2090742 117 0
2090742 120 0
2090742 121 0
2090742 131 0
2090742 136 0
2090742 137 0
2090742 143 0
2090742 149 0
2090742 153 0
2090742 157 0
2090742 188 0
2090742 192 0
2090742 194 0
2090742 198 0
2090742 199 0
2090742 200 0
2090742 1384652 0
2090742 204 0
2090742 206 0
2090742 216 0
2090742 219 0
2090742 224 0
2090742 225 0
2090742 227 0
2090742 230 0
2090742 233 0
2090742 234 0
2090742 245 0
2090742 328 0
2090742 266 0
2090742 267 0
2090742 2089740 0
2090742 332 0
2090742 271 0
2090742 275 0
2090742 340 0
2090742 341 0
2090742 342 0
2090742 280 0
2090742 350 0
2090742 287 0
2090742 357 0
2090742 358 0
2090742 296 0
2090742 363 0
2090742 364 0
2090742 303 0
2090742 304 0
2090742 305 0
2090742 307 0
2090742 308 0
2090742 312 0
2090742 313 0
2090742 316 0
2090742 318 0
227 5 0
227 17 0
227 25 0
227 26 0
227 27 0
227 30 0
227 32 0
227 34 0
227 35 0
227 36 0
227 39 0
227 40 0
227 45 0
227 46 0
227 48 0
227 50 0
227 51 0
227 55 0
227 58 0
227 67 0
227 71 0
227 72 0
227 77 0
227 79 0
227 83 0
227 85 0
227 86 0
227 87 0
227 91 0
227 92 0
227 101 0
227 106 0
227 117 0
227 120 0
227 121 0
227 131 0
227 136 0
227 137 0
227 143 0
227 149 0
227 153 0
227 157 0
227 188 0
227 192 0
227 194 0
227 198 0
227 199 0
227 200 0
227 1384652 0
227 204 0
227 206 0
227 216 0
227 219 0
227 224 0
227 225 0
227 266 0
227 267 0
227 2089740 0
227 271 0
227 275 0
227 280 0
227 287 0
227 296 0
227 303 0
227 304 0
227 305 0
227 307 0
227 308 0
227 312 0
227 313 0
227 316 0
227 318 0
227 328 0
227 332 0
227 340 0
227 341 0
227 342 0
227 350 0
227 357 0
227 230 0
227 358 0
227 233 0
227 234 0
227 363 0
227 364 0
227 245 0
51 200 1
51 192 1
51 67 1
51 5 0
51 17 0
51 25 0
51 26 0
51 27 0
51 30 0
51 32 0
