"graph distance" "common neighbors" "jaccard coef" "adamic - adar" "pref attachment"
-1 0 0.0 0.0 28
-1 0 0.0 0.0 35
-1 0 0.0 0.0 7
-1 0 0.0 0.0 56
-1 0 0.0 0.0 7
-1 0 0.0 0.0 35
-1 0 0.0 0.0 21
-2 1 0.1111111111111111 0.7213475204444817 21
-147 0 0.0 0.0 0
-5 0 0.0 0.0 7
-3 0 0.0 0.0 14
-2 1 0.14285714285714285 0.48089834696298783 7
-2 1 0.06666666666666667 0.48089834696298783 63
-4 0 0.0 0.0 7
-3 0 0.0 0.0 7
-147 0 0.0 0.0 7
-4 0 0.0 0.0 7
-5 0 0.0 0.0 7
-147 0 0.0 0.0 0
-4 0 0.0 0.0 7
-2 1 0.1111111111111111 0.48089834696298783 21
-147 0 0.0 0.0 7
-147 0 0.0 0.0 14
-2 1 0.14285714285714285 0.6213349345596119 7
-2 1 0.125 0.6213349345596119 14
-3 0 0.0 0.0 14
-5 0 0.0 0.0 7
-2 1 0.125 0.9102392266268373 14
-3 0 0.0 0.0 14
-147 0 0.0 0.0 0
-3 0 0.0 0.0 42
-5 0 0.0 0.0 7
-3 0 0.0 0.0 14
-147 0 0.0 0.0 0
-147 0 0.0 0.0 0
-3 0 0.0 0.0 14
-4 0 0.0 0.0 14
-2 1 0.08333333333333333 0.6213349345596119 42
-3 0 0.0 0.0 7
-3 0 0.0 0.0 7
-147 0 0.0 0.0 0
-4 0 0.0 0.0 7
-4 0 0.0 0.0 7
-5 0 0.0 0.0 14
-3 0 0.0 0.0 14
-147 0 0.0 0.0 7
-3 0 0.0 0.0 7
-147 0 0.0 0.0 0
-147 0 0.0 0.0 0
-147 0 0.0 0.0 0
-3 0 0.0 0.0 28
-147 0 0.0 0.0 0
-5 0 0.0 0.0 14
-3 0 0.0 0.0 7
-4 0 0.0 0.0 28
-4 0 0.0 0.0 14
-4 0 0.0 0.0 63
-147 0 0.0 0.0 0
-4 0 0.0 0.0 7
-3 0 0.0 0.0 56
-4 0 0.0 0.0 14
-3 0 0.0 0.0 49
-2 1 0.125 0.9102392266268373 14
-147 0 0.0 0.0 7
-2 1 0.125 0.6213349345596119 14
-4 0 0.0 0.0 56
-4 0 0.0 0.0 7
-2 1 0.125 0.48089834696298783 14
-147 0 0.0 0.0 0
-3 0 0.0 0.0 7
-2 1 0.1 0.6213349345596119 28
-6 0 0.0 0.0 14
-147 0 0.0 0.0 0
-4 0 0.0 0.0 21
-147 0 0.0 0.0 0
-2 2 0.16666666666666666 1.1022332815225997 49
-147 0 0.0 0.0 0
-4 0 0.0 0.0 7
-3 0 0.0 0.0 21
-4 0 0.0 0.0 14
-147 0 0.0 0.0 0
-2 1 0.09090909090909091 0.7213475204444817 35
-2 1 0.1 0.6213349345596119 28
-4 0 0.0 0.0 7
-147 0 0.0 0.0 0
-2 1 0.047619047619047616 0.6213349345596119 105
-147 0 0.0 0.0 0
-147 0 0.0 0.0 7
-3 0 0.0 0.0 28
-4 0 0.0 0.0 14
-2 1 0.14285714285714285 0.48089834696298783 7
-5 0 0.0 0.0 14
-3 0 0.0 0.0 42
-147 0 0.0 0.0 0
-4 0 0.0 0.0 21
-147 0 0.0 0.0 0
