"graph distance" "common neighbors" "jaccard coef" "adamic - adar" "pref attachment"
-1 0 0.0 0.0 4
-1 0 0.0 0.0 40
-1 0 0.0 0.0 32
-1 0 0.0 0.0 4
-6 0 0.0 0.0 8
-147 0 0.0 0.0 0
-4 0 0.0 0.0 20
-147 0 0.0 0.0 4
-5 0 0.0 0.0 4
-2 1 0.25 0.48089834696298783 4
-6 0 0.0 0.0 4
-6 0 0.0 0.0 4
-147 0 0.0 0.0 4
-5 0 0.0 0.0 4
-147 0 0.0 0.0 0
-6 0 0.0 0.0 4
-3 0 0.0 0.0 12
-5 0 0.0 0.0 16
-5 0 0.0 0.0 12
-147 0 0.0 0.0 0
-6 0 0.0 0.0 4
-147 0 0.0 0.0 0
-2 1 0.25 0.43429448190325176 4
-3 0 0.0 0.0 4
-147 0 0.0 0.0 0
-147 0 0.0 0.0 0
-6 0 0.0 0.0 4
-6 0 0.0 0.0 4
-147 0 0.0 0.0 0
-2 1 0.25 0.48089834696298783 4
-6 0 0.0 0.0 4
-147 0 0.0 0.0 0
-10 0 0.0 0.0 8
-147 0 0.0 0.0 0
-147 0 0.0 0.0 0
-2 1 0.25 0.43429448190325176 4
-147 0 0.0 0.0 8
-3 0 0.0 0.0 4
-6 0 0.0 0.0 4
-147 0 0.0 0.0 4
-4 0 0.0 0.0 16
-147 0 0.0 0.0 4
-147 0 0.0 0.0 0
-147 0 0.0 0.0 4
-147 0 0.0 0.0 4
-5 0 0.0 0.0 12
-2 1 0.2 0.48089834696298783 8
-147 0 0.0 0.0 4
-2 1 0.1111111111111111 0.48089834696298783 24
-9 0 0.0 0.0 16
-147 0 0.0 0.0 0
-3 0 0.0 0.0 8
-4 0 0.0 0.0 4
-2 1 0.16666666666666666 0.43429448190325176 12
-5 0 0.0 0.0 20
-8 0 0.0 0.0 4
-9 0 0.0 0.0 4
-147 0 0.0 0.0 0
-147 0 0.0 0.0 0
-147 0 0.0 0.0 0
-3 0 0.0 0.0 8
-6 0 0.0 0.0 4
-4 0 0.0 0.0 8
-5 0 0.0 0.0 16
-147 0 0.0 0.0 0
-10 0 0.0 0.0 8
-2 1 0.25 0.43429448190325176 4
-6 0 0.0 0.0 4
-147 0 0.0 0.0 4
-147 0 0.0 0.0 4
-147 0 0.0 0.0 4
-2 1 0.25 0.48089834696298783 4
-4 0 0.0 0.0 4
-6 0 0.0 0.0 4
-147 0 0.0 0.0 0
-147 0 0.0 0.0 0
-11 0 0.0 0.0 4
-4 0 0.0 0.0 20
-2 2 0.4 0.9151928288662396 12
-4 0 0.0 0.0 12
-147 0 0.0 0.0 4
-5 0 0.0 0.0 4
-6 0 0.0 0.0 4
-5 0 0.0 0.0 4
-147 0 0.0 0.0 0
-4 0 0.0 0.0 8
-147 0 0.0 0.0 0
-4 0 0.0 0.0 4
-147 0 0.0 0.0 4
-8 0 0.0 0.0 12
-5 0 0.0 0.0 12
-5 0 0.0 0.0 12
-147 0 0.0 0.0 0
-147 0 0.0 0.0 0
-147 0 0.0 0.0 0
-147 0 0.0 0.0 0
-147 0 0.0 0.0 0
-2 1 0.2 0.48089834696298783 8
-147 0 0.0 0.0 4
-147 0 0.0 0.0 0
-4 0 0.0 0.0 12
-5 0 0.0 0.0 4
-147 0 0.0 0.0 4
-147 0 0.0 0.0 0
-3 0 0.0 0.0 4
-2 1 0.25 0.43429448190325176 4
