source target "graph distance" "common neighbors" "jaccard coef" "adamic - adar" "pref attachment"
1 6 -1 1 0.3333333333333333 0.9102392266268373 4
1 4 -1 1 0.25 1.4426950408889634 6
1 3 -2 1 0.3333333333333333 0.9102392266268373 4
1 20 -4 0 0.0 0.0 2
1 5 -3 0 0.0 0.0 4
3 5 -1 0 0.0 0.0 4
3 4 -1 0 0.0 0.0 6
3 20 -2 1 0.5 1.4426950408889634 2
3 6 -2 1 0.3333333333333333 0.9102392266268373 4
5 20 -1 0 0.0 0.0 2
5 4 -2 1 0.25 1.4426950408889634 6
5 6 -3 0 0.0 0.0 4
4 6 -1 1 0.25 1.4426950408889634 6
4 20 -3 0 0.0 0.0 3
6 20 -4 0 0.0 0.0 2
